Extinct,EX,beyond reasonable doubt that the species is no longer extant.
Extinct in the wild,EW,"survives only in captivity, cultivation and/or outside native range, as presumed after exhaustive surveys."
Critically endangered,CR,in a particularly and extremely critical state.
Endangered,EN,"very high risk of extinction in the wild, meets any of criteria A to E for Endangered."
Vulnerable,VU,meets one of the 5 red list criteria and thus considered to be at high risk of unnatural (human-caused) extinction without further human intervention.
Near threatened,NT,close to being at high risk of extinction in the near future.
Least concern,LC,unlikely to become extinct in the near future.
Data deficient,DD,data deficient
Not evaluated,NE,not evaluated
